Date,Open,High,Low,Close,AdjClose,Volume
2019-01-01,3746.713379,4109.020996,3400.819824,3457.792725,3457.792725,167335706843
2019-02-01,3460.547119,4210.641602,3391.023682,3854.785400,3854.785400,199100675580
2019-03-01,3853.757080,4296.806641,3733.749756,4105.404297,4105.404297,297952790244
2019-04-01,4105.362305,5642.044434,4096.901367,5350.726563,5350.726563,445364556707
2019-05-01,5350.914551,9008.314453,5347.645996,8574.501953,8574.501953,724157870846
2019-06-01,8573.839844,13796.489258,7564.488770,10817.155273,10817.155273,675855385058
2019-07-01,10796.930664,13129.529297,9163.134766,10085.627930,10085.627930,676416326690
2019-08-01,10077.442383,12273.821289,9421.629883,9630.664063,9630.664063,533984971719
2019-09-01,9630.592773,10898.761719,7830.758789,8293.868164,8293.868164,595134304654
2019-10-01,8299.720703,10021.744141,7446.988770,9199.584961,9199.584961,595205134734
2019-11-01,9193.992188,9505.051758,6617.166992,7569.629883,7569.629883,676919523637
2019-12-01,7571.616211,7743.431641,6540.049316,7193.599121,7193.599121,633790373406
2020-01-01,7194.892090,9553.125977,6914.996094,9350.529297,9350.529297,852872174477
